day1_temp,day1_humid,day1_windspd,day2_temp,day2_humid,day2_windspd,day3_temp,day3_humid,day3_windspd,day4_temp,day4_humid,day4_windspd,day5_temp,day5_humid,day5_windspd,y_day6_temp,y_change
13.2,0.86,1.7,12.5,0.85,3.8,11.9,0.87,2.2,12.4,0.92,3.1,12.4,0.87,1.4,9.4,0
8.4,0.85,2.8,8.8,0.9,3.8,9.7,0.83,3.9,10.2,0.87,1.7,9.6,0.89,1.3,10.5,1
11.4,0.87,2.6,10.9,0.81,3.9,12.8,0.8,3.8,10.6,0.83,3.8,9.6,0.85,4.3,8.6,0
10.8,0.88,3.6,9.2,0.75,1.7,8.0,0.94,1.9,8.9,0.91,1.5,6.4,0.88,3.1,5.5,0
3.5,0.73,2.0,2.9,0.81,3.4,6.5,0.88,3.3,7.0,0.89,4.6,9.4,0.73,7.2,6.5,0
5.9,0.89,0.8,7.7,0.82,4.6,7.0,0.91,2.7,5.9,0.89,1.5,4.9,0.9,1.9,5.9,1
8.0,0.91,2.7,7.9,0.87,2.1,6.5,0.91,2.2,6.8,0.9,1.0,7.1,0.89,4.1,6.5,0
6.1,0.9,1.2,5.4,0.9,1.0,5.0,0.87,1.9,5.3,0.86,3.6,2.9,0.91,1.7,5.9,1
5.5,0.88,4.6,5.5,0.89,4.1,2.8,0.89,5.6,6.0,0.89,2.0,6.3,0.87,3.8,5.0,0
4.5,0.85,3.8,6.1,0.88,1.9,4.5,0.92,1.4,4.7,0.91,1.3,6.5,0.94,1.9,2.8,0
7.1,0.94,2.2,7.5,0.9,2.7,5.1,0.91,2.5,8.4,0.93,5.0,8.1,0.94,4.1,6.4,0
2.4,0.9,4.4,5.8,0.93,2.2,7.2,0.9,3.6,5.6,0.92,1.2,2.4,0.93,2.6,7.8,1
5.0,0.85,2.4,4.7,0.75,4.7,4.0,0.72,5.0,1.3,0.75,1.2,0.4,0.8,2.1,-0.2,0
-3.7,0.87,0.7,-0.8,0.88,1.5,-3.3,0.83,1.2,-2.8,0.82,0.5,-2.0,0.61,3.3,-4.3,0
-5.4,0.89,1.2,-3.2,0.84,2.8,-3.5,0.77,8.2,-4.3,0.83,11.0,-7.3,0.69,2.2,-13.3,0
-8.6,0.8,3.9,-1.6,0.86,4.8,1.4,0.91,3.8,1.1,0.9,2.0,1.4,0.9,3.8,2.1,1
1.5,0.93,1.0,0.8,0.9,1.2,-1.1,0.74,3.3,-3.8,0.73,1.7,-2.5,0.84,1.0,-2.2,1
-4.6,0.87,0.3,-8.3,0.88,0.7,-10.3,0.84,1.2,-11.6,0.87,1.2,-12.9,0.8,1.0,-6.5,1
-7.9,0.81,2.0,-6.1,0.79,0.5,-2.9,0.84,2.6,-1.7,0.85,3.9,-2.0,0.87,2.8,0.7,1
3.3,0.92,3.4,2.7,0.92,2.9,1.7,0.91,1.7,1.1,0.94,1.9,-1.5,0.87,1.7,-4.8,0
-5.0,0.84,1.0,-8.6,0.59,6.2,-11.1,0.64,9.4,-15.0,0.6,6.7,-16.4,0.59,3.2,-18.1,0
-12.2,0.72,5.5,-5.0,0.89,2.1,-1.3,0.82,2.0,-6.5,0.75,1.4,-8.2,0.84,1.2,-0.7,1
3.0,0.88,1.5,0.9,0.76,0.7,4.1,0.68,0.8,0.4,0.75,1.3,0.5,0.6,2.4,-1.0,0
2.4,0.67,1.7,-0.3,0.73,1.4,0.2,0.73,1.7,2.4,0.43,5.3,-1.6,0.55,2.0,-8.3,0
-7.9,0.75,2.9,-9.2,0.76,3.4,-9.7,0.77,2.6,-10.2,0.74,2.4,-10.7,0.74,4.4,-9.7,1
-9.0,0.69,3.6,-8.2,0.74,1.0,-3.2,0.8,2.9,-2.6,0.75,3.3,4.3,0.68,2.1,-0.7,0
1.3,0.75,1.9,0.9,0.88,2.9,2.7,0.95,1.5,2.5,0.95,1.7,2.9,0.9,2.6,2.4,0
2.4,0.87,1.5,1.1,0.88,1.2,-0.2,0.81,6.8,-3.5,0.67,3.9,-5.9,0.64,2.3,-6.6,0
-4.5,0.6,1.9,-2.0,0.59,1.9,-2.3,0.52,1.2,-3.6,0.51,1.9,-2.8,0.52,1.5,-1.9,1
-1.0,0.46,2.9,-1.9,0.64,2.2,-1.5,0.67,2.9,0.6,0.52,3.6,1.0,0.91,2.9,2.5,1
3.4,0.85,2.4,3.1,0.83,2.9,3.9,0.9,2.9,3.2,0.89,2.0,5.0,0.78,4.3,2.7,0
3.6,0.87,4.8,4.1,0.82,3.8,5.4,0.65,2.4,5.3,0.56,2.1,3.9,0.56,1.9,1.1,0
0.6,0.46,5.2,-0.6,0.61,3.2,0.5,0.86,2.8,4.7,0.75,2.1,4.6,0.58,1.3,1.5,0
2.7,0.69,7.5,5.1,0.43,3.6,5.1,0.55,2.4,7.2,0.55,1.7,8.1,0.54,4.8,6.0,0
5.8,0.81,1.5,6.4,0.89,3.3,5.7,0.89,2.8,6.6,0.72,2.1,7.2,0.76,2.4,7.3,1
9.0,0.64,3.8,10.0,0.59,3.4,9.1,0.69,3.1,7.5,0.49,5.0,7.5,0.38,5.3,9.6,1
13.0,0.38,4.1,14.0,0.46,2.1,16.0,0.43,2.2,16.6,0.4,2.8,17.2,0.37,2.1,17.2,0
